"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"/Users/joshuakim/Documents/yeayea/rpgbot/src/cache/caches.ts", "TypeScript", 2, 0, 0, 0, 2
"/Users/joshuakim/Documents/yeayea/rpgbot/src/commands/admin/configLevels.ts", "TypeScript", 1, 0, 0, 0, 1
"/Users/joshuakim/Documents/yeayea/rpgbot/src/commands/admin/configLogging.ts", "TypeScript", 1, 0, 0, 0, 1
"/Users/joshuakim/Documents/yeayea/rpgbot/src/commands/admin/configQuests.ts", "TypeScript", 85, 0, 0, 20, 105
"/Users/joshuakim/Documents/yeayea/rpgbot/src/commands/admin/configShop.ts", "TypeScript", -12, 0, 0, 0, -12
"/Users/joshuakim/Documents/yeayea/rpgbot/src/commands/admin/configStreak.ts", "TypeScript", 1, 0, 0, 0, 1
"/Users/joshuakim/Documents/yeayea/rpgbot/src/commands/admin/configStyles.ts", "TypeScript", 1, 0, 0, 0, 1
"/Users/joshuakim/Documents/yeayea/rpgbot/src/commands/admin/configTrading.ts", "TypeScript", 1, 0, 0, 0, 1
"/Users/joshuakim/Documents/yeayea/rpgbot/src/commands/admin/configXp.ts", "TypeScript", 1, 0, 0, 0, 1
"/Users/joshuakim/Documents/yeayea/rpgbot/src/commands/admin/set.ts", "TypeScript", 1, 0, 0, 0, 1
"/Users/joshuakim/Documents/yeayea/rpgbot/src/commands/index.ts", "TypeScript", 3, 0, 0, 0, 3
"/Users/joshuakim/Documents/yeayea/rpgbot/src/commands/user/daily.ts", "TypeScript", 9, 0, 0, 0, 9
"/Users/joshuakim/Documents/yeayea/rpgbot/src/commands/user/gift.ts", "TypeScript", 14, 0, 0, 2, 16
"/Users/joshuakim/Documents/yeayea/rpgbot/src/commands/user/profile.ts", "TypeScript", 46, 0, 4, 10, 60
"/Users/joshuakim/Documents/yeayea/rpgbot/src/commands/user/quests.ts", "TypeScript", 2, 0, 0, 0, 2
"/Users/joshuakim/Documents/yeayea/rpgbot/src/commands/user/shop.ts", "TypeScript", 1, 0, 0, 0, 1
"/Users/joshuakim/Documents/yeayea/rpgbot/src/commands/user/trade.ts", "TypeScript", 291, 0, 8, 51, 350
"/Users/joshuakim/Documents/yeayea/rpgbot/src/db/activeVC.ts", "TypeScript", 1, 0, 0, 0, 1
"/Users/joshuakim/Documents/yeayea/rpgbot/src/db/events.ts", "TypeScript", 4, 0, 0, 0, 4
"/Users/joshuakim/Documents/yeayea/rpgbot/src/db/trade.ts", "TypeScript", 221, 0, 9, 43, 273
"/Users/joshuakim/Documents/yeayea/rpgbot/src/db/userGuildProfiles.ts", "TypeScript", 2, 0, 0, 1, 3
"/Users/joshuakim/Documents/yeayea/rpgbot/src/events/interactionCreate.ts", "TypeScript", 5, 0, 0, 0, 5
"/Users/joshuakim/Documents/yeayea/rpgbot/src/player/inventory.ts", "TypeScript", 4, 0, 0, 0, 4
"/Users/joshuakim/Documents/yeayea/rpgbot/src/player/quests.ts", "TypeScript", 8, 0, -1, 3, 10
"/Users/joshuakim/Documents/yeayea/rpgbot/src/types/economy.ts", "TypeScript", -2, 0, 0, 0, -2
"/Users/joshuakim/Documents/yeayea/rpgbot/src/types/logging.ts", "TypeScript", 1, 0, 0, 0, 1
"/Users/joshuakim/Documents/yeayea/rpgbot/src/types/trading.ts", "TypeScript", 38, 0, 1, 4, 43
"/Users/joshuakim/Documents/yeayea/rpgbot/src/ui/canvas/drawEmojis.ts", "TypeScript", 0, 0, -1, -1, -2
"/Users/joshuakim/Documents/yeayea/web/app/api/discord/guilds/[guildId]/config/route.ts", "TypeScript", 0, 0, 0, -1, -1
"/Users/joshuakim/Documents/yeayea/web/app/components/logging/loggingEditor.tsx", "TypeScript JSX", 0, 2, 0, 0, 2
"/Users/joshuakim/Documents/yeayea/web/app/components/quests/questsBasicEditor.tsx", "TypeScript JSX", 0, 513, 6, 53, 572
"/Users/joshuakim/Documents/yeayea/web/app/components/shop/shopBasicsEditor.tsx", "TypeScript JSX", 0, 346, 5, 12, 363
"/Users/joshuakim/Documents/yeayea/web/app/components/sidebar/sidebar.tsx", "TypeScript JSX", 0, 67, 0, 5, 72
"/Users/joshuakim/Documents/yeayea/web/app/components/styles/styleBasicsEditor.tsx", "TypeScript JSX", 0, 37, 0, 3, 40
"/Users/joshuakim/Documents/yeayea/web/app/dashboard/[guildId]/layout.tsx", "TypeScript JSX", 0, -25, 0, -3, -28
"/Users/joshuakim/Documents/yeayea/web/app/dashboard/[guildId]/logging/loggingPageClient.tsx", "TypeScript JSX", 0, 2, 0, 0, 2
"/Users/joshuakim/Documents/yeayea/web/app/dashboard/[guildId]/quests/page.tsx", "TypeScript JSX", 0, 5, 0, 2, 7
"/Users/joshuakim/Documents/yeayea/web/app/dashboard/[guildId]/quests/questsPageClient.tsx", "TypeScript JSX", 0, 38, 0, 9, 47
"/Users/joshuakim/Documents/yeayea/web/app/hooks/useGuildConfig.ts", "TypeScript", 2, 0, 0, 0, 2
"Total", "-", 732, 985, 31, 213, 1961
